hex,z1,z2,t1,t2,p1,p2,theta1,theta2,dpdz,dtdz,dvdz_square
71c517,12062.460000000001,12092.94,0.0,0.0,19807.088146220434,19735.8037831942,0,0,-2.3387258210707667,0.0,0.019410286730127325
780aaa,12237.720000000001,12184.380000000001,212.7952349218699,0.0,19453.222590459103,19641.15688015182,339.7882340118343,0,-3.5233275157989317,6.370233108583302,0.002015010147656023
842292,10706.1,10911.84,219.52910770953602,219.52910770953602,24524.564938942127,23835.918915151888,328.07911879118643,330.7611305132661,-3.347166442063964,0.013035927491395292,0.00015876733398636228
842292,10911.84,10104.12,219.52910770953602,0.0,23835.918915151888,26906.072636935525,330.7611305132661,0,-3.8010123827361464,0.40949974064436484,0.002564612648520139
842292,10104.12,10408.92,0.0,0.0,26906.072636935525,25738.224285426724,0,0,-3.831523462955393,0.0,0.0
842292,11361.42,11369.04,0.0,0.0,22122.74330576291,22282.843568228524,0,0,21.010533131968124,0.0,0.0
842292,11407.140000000001,9959.34,0.0,0.0,22122.74330576291,27569.640010035888,0,0,-3.7621886339777415,-0.0,0.0
845ebc,8275.32,8450.58,243.93978959007734,233.15926644599475,36061.17454798014,34349.934038008105,326.51693451486295,316.4545252103352,-9.76401066970234,-0.05741418067173199,0.0004174906392752285
845ebc,8450.58,8709.66,233.15926644599475,233.577632726459,34349.934038008105,32925.52042716473,316.4545252103352,320.88374434208845,-5.49796823700546,0.01709595156613115,0.00014155785740547827
845ebc,6598.92,7063.740000000001,0.0,0.0,44497.119579020095,41792.017063580104,0,0,-5.819677542790729,0.0,0.0
845ebc,7063.740000000001,7459.9800000000005,0.0,0.0,41792.017063580104,39562.46877998571,0,0,-5.626762274365013,0.0,0.0
845ebc,7459.9800000000005,8115.3,0.0,0.0,39562.46877998571,37430.23036140108,0,0,-3.2537362183126293,0.0,0.0
8464f4,7269.4800000000005,7330.4400000000005,245.43160043873476,245.43160043873476,40905.87354747562,40512.10521328925,316.886762262709,317.7641805761517,-6.459454300957455,0.014393345036789977,9.15229998220226e-05
8464f4,7330.4400000000005,7528.56,245.43160043873476,245.7123174027679,40512.10521328925,39349.177096408064,317.7641805761517,320.7873499977433,-5.86981686291736,0.015259284381140749,0.0004145485230352475
8464f4,7528.56,7719.06,245.7123174027679,245.7123174027679,39349.177096408064,38338.297243099754,320.7873499977433,323.1827881437772,-5.306455922878268,0.012574478456870774,0.0008490866337120406
8464f4,7719.06,8138.160000000001,245.7123174027679,241.2948237336418,38338.297243099754,35981.92275219215,323.1827881437772,323.1797996733774,-5.622463590807929,-7.13068575477868e-06,4.0727833815621825e-05
8464f4,7269.4800000000005,7772.400000000001,0.0,0.0,43426.22629187949,38047.45323011541,0,0,-10.695086816519678,0.0,0.0
8464f4,7772.400000000001,8001.0,0.0,0.0,38047.45323011541,37226.300873997345,0,0,-3.5920925464482396,0.0,0.0
8464f4,8001.0,8122.92,0.0,0.0,37226.300873997345,35981.92275219215,0,0,-10.206513466249957,0.0,0.0
846658,3154.6800000000003,3185.1600000000003,0.0,0.0,69812.15873991058,69541.7254695295,0,0,-8.872482624051164,0.0,0.0
846658,3185.1600000000003,3733.8,0.0,0.0,69541.7254695295,64880.91894447901,0,0,-8.49519999462396,0.0,0.0
8466a0,11224.26,11201.400000000001,216.48162066460367,0.0,22770.129741342906,22797.511513815964,330.4626075584387,0,-1.1978028203438065,14.45593208917133,2.5833204928579274
8468aa,6941.820000000001,7322.820000000001,0.0,0.0,42784.66356761007,42105.81420506531,0,0,-1.7817568570728584,0.0,0.0
8468aa,7322.820000000001,7551.42,0.0,0.0,40643.01873875601,39264.121592183976,0,0,-6.031921026124387,0.0,0.0
8468cc,10066.02,10370.82,225.4909926719531,223.44573346156085,27315.307891092805,26071.978487744003,326.76551680265885,328.14256583756486,-4.079164709149622,0.004517877411108962,0.0005020377280476961
8468cc,10370.82,10622.28,223.44573346156085,219.38316846961985,26071.978487744003,25110.664576490515,328.14256583756486,325.65502301546314,-3.8229297353594394,-0.009892399674308862,8.374014018669851e-05
8468cc,10637.52,10645.140000000001,219.52910770953602,219.52910770953602,25051.549229132743,25022.033845343376,326.0912885882149,326.20119685804116,-3.873409946110715,0.014423657457509644,0.004563472769581225
8468cc,10645.140000000001,10652.76,219.52910770953602,217.2833004012123,25022.033845343376,24992.54662737164,326.20119685804116,322.97296712969785,-3.8697136445851545,-0.42365219532070075,0.040179206919569145
8468cc,10652.76,9776.460000000001,213.9588618485734,227.54556969196,24992.54662737164,28507.721304131053,318.0314747029741,325.73988239937665,-4.011382719113791,-0.008796539651263912,0.0001837829398557935
8468cc,10637.52,10645.140000000001,0.0,0.0,25051.549229132743,24992.54662737164,0,0,-7.743123590694946,0.0,0.0
8468cc,10660.380000000001,9319.26,0.0,0.0,24992.54662737164,30530.717273579172,0,0,-4.129511636697333,-0.0,0.0
8468cc,9319.26,9547.86,0.0,0.0,30530.717273579172,29505.181766746817,0,0,-4.486157072757452,0.0,0.0
846bb6,10157.460000000001,10393.68,221.4935642098864,219.8338892741262,26874.799827910185,25889.49913354802,322.46792773593296,323.48720420609266,-4.171114615029077,0.004314945686900764,9.041586651814499e-05
846bb6,10393.68,10622.28,219.8338892741262,217.2833004012123,25889.49913354802,25051.549229132743,323.48720420609266,322.7553382591994,-3.665572635237423,-0.0032015133284919685,0.0004468839619448926
846bb6,10622.28,10812.78,217.2833004012123,217.57340157221617,25051.549229132743,24322.067203635386,322.7553382591994,325.92794581670915,-3.8293019711147323,0.01665410791343708,9.886922046054142e-05
846bb6,10812.78,11026.140000000001,217.57340157221617,215.62644579792675,24322.067203635386,23577.71549501635,325.92794581670915,325.89412541160414,-3.48871254508359,-0.00015851333476292787,5.841440777866902e-05
846bb6,11026.140000000001,11231.880000000001,215.62644579792675,215.3476013562637,23577.71549501635,22852.373880596988,325.89412541160414,328.3928818391312,-3.525525490518919,0.01214521448200177,0.00016691359599998925
846bb6,11262.36,9403.08,213.42056315715374,229.80242715570745,22770.129741342906,30117.095823026797,325.789855004699,323.8465803576218,-3.9515113816552048,0.001045175899852202,2.5957045372038584e-05
846bb6,9403.08,9646.92,229.80242715570745,227.79103702882517,30117.095823026797,29069.536827022333,323.8465803576218,324.27717028068764,-4.296091683089169,0.0017658707474812912,2.9861841941077028e-05
